token,20tokens
throwback,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 90:0.3333333333333333 
korean,throwback:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 90:0.3333333333333333 
mom,pop:0.2 dad:0.2 papa:0.2 modern:0.1111111111111111 straight:0.1111111111111111 closer:0.1111111111111111 friend:0.1111111111111111 throwback:0.1 sarah:0.1 christian:0.1 zombie:0.1 woman:0.1 baby:0.1 superman:0.1 kid:0.1 romeo:0.1 korean:0.09090909090909091 guy:0.09090909090909091 girl:0.09090909090909091 drug:0.09090909090909091 
sarah,woman:0.3333333333333333 girl:0.25 lady:0.25 guy:0.16666666666666666 modern:0.16666666666666666 straight:0.16666666666666666 closer:0.16666666666666666 friend:0.16666666666666666 throwback:0.14285714285714285 christian:0.14285714285714285 zombie:0.14285714285714285 baby:0.14285714285714285 superman:0.14285714285714285 kid:0.14285714285714285 romeo:0.14285714285714285 korean:0.125 taylor:0.125 drug:0.125 female:0.125 thai:0.125 
melancholy,throwback:0.3333333333333333 korean:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 90:0.3333333333333333 
running,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 90:0.3333333333333333 
good,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 90:0.3333333333333333 
vibe,power:0.25 bad:0.25 space:0.2 good:0.16666666666666666 concentration:0.16666666666666666 old:0.14285714285714285 people:0.14285714285714285 high:0.14285714285714285 dark:0.14285714285714285 atmosphere:0.14285714285714285 pleasure:0.14285714285714285 life:0.14285714285714285 mood:0.14285714285714285 today:0.14285714285714285 throwback:0.125 korean:0.125 melancholy:0.125 running:0.125 random:0.125 80:0.125 
hit,lift:0.25 throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 best:0.2 bus:0.2 
tb,metal:0.5 sb:0.3333333333333333 cd:0.3333333333333333 as:0.25 h:0.25 stuff:0.2 paint:0.14285714285714285 lean:0.125 drug:0.125 snowflake:0.125 coffee:0.125 throwback:0.1111111111111111 korean:0.1111111111111111 melancholy:0.1111111111111111 running:0.1111111111111111 good:0.1111111111111111 random:0.1111111111111111 80:0.1111111111111111 catchy:0.1111111111111111 piano:0.1111111111111111 
country,party:0.2 men:0.16666666666666666 band:0.16666666666666666 club:0.16666666666666666 people:0.14285714285714285 school:0.14285714285714285 cast:0.14285714285714285 bop:0.14285714285714285 indie:0.125 sick:0.125 beatles:0.125 lost:0.125 space:0.1111111111111111 throwback:0.1 korean:0.1 melancholy:0.1 running:0.1 good:0.1 random:0.1 80:0.1 
